辧	辦	1.0	1.0
醖	醞	0.0	0.7333333333333333
掦	揚	4.571428571428571	0.6666666666666666
姉	姊	0.0	1.8
産	產	0.0	0.9285714285714286
竜	龍	0.0	2.15
姸	妍	0.0	0.9285714285714286
図	圖	0.0	1.7142857142857142
薫	薰	0.0	0.3076923076923077
沢	澤	0.0	2.388888888888889
蔵	藏	0.0	0.7333333333333333
徳	德	0.0	0.4
紥	紮	0.0	1.0625
晳	晰	0.0	2.5294117647058822
腈	睛	0.0	1.0454545454545454
兪	俞	0.42857142857142855	0.9375
妸	婀	0.0	1.1578947368421053
誔	誕	4.25	0.8888888888888888
喆	哲	0.0	2.761904761904762
抜	拔	0.0	1.2
転	轉	0.0	1.4
辺	邊	1.7142857142857142	1.9333333333333333
楽	樂	0.0	1.2142857142857142
昰	是	0.0	0.9473684210526315
飈	飆	0.0	3.466666666666667
滝	瀧	0.0	1.625
歴	歷	0.0	0.625
団	團	0.0	1.0714285714285714
鬪	鬥	0.0	2.0
蝽	椿	1.0	1.7619047619047619
踳	蝽	0.0	1.619047619047619
柾	柩	0.0	2.0
隠	隱	0.0	0.5714285714285714
裵	裴	0.0	2.125
貎	貌	3.5	0.9411764705882353
曺	曹	0.0	1.1428571428571428
勑	敕	0.0	2.473684210526316
莾	莽	0.0	1.105263157894737
竈	灶	0.0	3.2777777777777777
暦	曆	0.0	0.8333333333333334
廻	迴	0.0	1.3157894736842106
曯	囑	1.0	1.0555555555555556
矚	囑	0.0	1.09375
戸	戶	0.0	1.2857142857142858
户	戶	0.0	0.7894736842105263
晩	晚	0.0	0.2857142857142857
毎	每	0.0	1.2307692307692308
髪	髮	0.0	1.0
剣	劍	0.0	0.3333333333333333
実	實	0.0	1.8666666666666667
兎	兔	0.0	1.4666666666666666
臓	臟	0.0	0.21428571428571427
県	縣	0.0	1.0625
吲	哂	0.0	2.35
翆	翠	0.0	1.1333333333333333
焼	燒	0.0	0.9333333333333333
爕	燮	0.0	1.2777777777777777
売	賣	0.0	2.3157894736842106
瀬	瀨	0.0	0.3125
邉	邊	0.0	0.7333333333333333
涙	淚	0.0	0.6428571428571429
斎	齋	0.0	2.142857142857143
槇	槙	0.0	0.9285714285714286
覧	覽	0.0	0.5
遡	溯	0.0	1.7333333333333334
奬	獎	0.0	0.375
殻	殼	0.0	0.21428571428571427
犠	犧	0.0	0.7333333333333333
糭	粽	0.0	2.5625
躱	躲	0.0	1.0
麺	麵	0.0	1.4666666666666666
黒	黑	0.0	0.4666666666666667
湼	涅	0.0	1.7647058823529411
晧	皓	0.0	1.368421052631579
顕	顯	0.0	1.3333333333333333
艶	艷	0.0	1.0
鉄	鐵	0.0	2.0
凖	準	0.0	0.8571428571428571
観	觀	0.0	1.5333333333333334
擕	㩦	0.0	1.3
徴	徵	0.0	0.21428571428571427
気	氣	0.0	1.4285714285714286
頴	穎	0.0	0.8
嶋	島	0.0	2.3157894736842106
抺	抹	1.5	1.0
硏	研	0.0	0.9230769230769231
篭	籠	0.0	1.5714285714285714
廏	廄	0.0	1.3571428571428572
亁	乾	0.0	0.3125
犇	奔	0.0	3.789473684210526
怇	佢	1.75	1.5294117647058822
姫	姬	4.0	0.3157894736842105
駅	驛	0.0	2.1052631578947367
閲	閱	0.0	0.3125
鎭	鎮	0.0	0.7333333333333333
鎹	餸	0.0	1.5294117647058822
擤	呻	2.7777777777777777	3.125
凑	湊	0.0	0.8571428571428571
篋	喼	3.625	3.588235294117647
揜	揞	1.75	2.3333333333333335
銊	戌	1.0	1.84375
抰	揚	0.875	2.21875
戙	棟	0.0	3.375
愩	貢	1.0	1.625
屘	尾	1.625	1.65625
睺	吼	1.0	3.526315789473684
熝	淥	0.0	3.375
錑	𨀤	0.0	3.6
更	更	99999	99999
不	不	99999	99999
利	利	99999	99999
料	料	99999	99999
聯	聯	99999	99999
行	行	99999	99999
立	立	99999	99999
年	年	99999	99999
來	來	99999	99999
